sensor_code,timestamp,reading_value,weather_condition
SENSOR_0016,2025-12-20 16:00:00,42.68,Hot
SENSOR_0047,2026-01-02 10:00:00,82.52,Cold
SENSOR_0029,2026-01-07 23:00:00,83.87,Rainy
SENSOR_0049,2026-01-01 21:00:00,44.6,Cloudy
SENSOR_0037,2026-01-07 21:00:00,94.18,Rainy
SENSOR_0002,2025-12-29 08:00:00,28.55,Rainy
SENSOR_0044,2026-01-06 15:00:00,,Sunny
SENSOR_0006,2025-12-11 01:00:00,85.77,Cold
SENSOR_0045,2026-01-02 05:00:00,56.77,Sunny
SENSOR_0012,2026-01-04 22:00:00,,Hot
SENSOR_0044,2026-01-03 03:00:00,83.53,Cold
SENSOR_0015,2025-12-11 00:00:00,6.15,Cold
SENSOR_0031,2026-01-08 09:00:00,93.71,Rainy
SENSOR_0019,2026-01-01 17:00:00,37.7,Sunny
SENSOR_0017,2026-01-01 18:00:00,,Cold
SENSOR_0003,2025-12-27 14:00:00,42.56,Sunny
SENSOR_0021,2026-01-07 07:00:00,9.87,Cold
SENSOR_0015,2026-01-03 00:00:00,82.79,Sunny
SENSOR_0013,2026-01-01 10:00:00,114.34,Hot
SENSOR_0034,2025-12-20 15:00:00,394.47,Hot
SENSOR_0040,2025-12-20 04:00:00,28.4,Cloudy
SENSOR_0001,2026-01-04 13:00:00,82.89,Hot
SENSOR_0015,2026-01-08 17:00:00,59.37,Rainy
SENSOR_0022,2026-01-08 06:00:00,93.0,Rainy
SENSOR_0029,2025-12-15 10:00:00,36.03,Rainy
SENSOR_0010,2025-12-22 22:00:00,103.87,Cloudy
SENSOR_0041,2025-12-19 09:00:00,105.57,Rainy
SENSOR_0048,2025-12-29 05:00:00,2.57,Hot
SENSOR_0005,2025-12-31 18:00:00,16.72,Cloudy
SENSOR_0039,2025-12-15 02:00:00,3.81,Sunny
SENSOR_0042,2025-12-29 11:00:00,40.25,Sunny
SENSOR_0016,2025-12-19 08:00:00,75.84,Hot
SENSOR_0022,2025-12-26 00:00:00,85.37,Sunny
SENSOR_0005,2025-12-26 18:00:00,12.81013899980735,Cloudy
SENSOR_0011,2026-01-06 02:00:00,75.68,Hot
SENSOR_0003,2025-12-31 17:00:00,90.42,Rainy
SENSOR_0033,2026-01-07 10:00:00,22.59,Cold
SENSOR_0017,2025-12-31 00:00:00,24.71,Sunny
SENSOR_0010,2025-12-29 17:00:00,83.76,Hot
SENSOR_0009,2025-12-14 03:00:00,14.56,Rainy
SENSOR_0015,2025-12-21 03:00:00,127.76,Cloudy
SENSOR_0033,2026-01-04 12:00:00,79.33,Cold
SENSOR_0038,2025-12-25 21:00:00,12.83,Cloudy
SENSOR_0033,2025-12-24 16:00:00,17.24,Cloudy
SENSOR_0009,2025-12-29 18:00:00,92.06,Cold
SENSOR_0010,2025-12-27 21:00:00,29.15,Cloudy
SENSOR_0024,2025-12-15 08:00:00,,Hot
SENSOR_0028,2025-12-14 09:00:00,51.72,Cold
SENSOR_0003,2026-01-03 18:00:00,354.18,Hot
SENSOR_0037,2025-12-15 17:00:00,122.94,Sunny
SENSOR_0022,2025-12-30 03:00:00,68.98,Hot
SENSOR_0044,2026-01-06 09:00:00,75.23,Cold
SENSOR_0015,2025-12-15 21:00:00,,Cloudy
SENSOR_0039,2025-12-24 14:00:00,58.15,Rainy
SENSOR_0045,2025-12-18 16:00:00,0.06,Rainy
SENSOR_0043,2025-12-17 06:00:00,93.13,Cold
SENSOR_0003,2025-12-20 23:00:00,18.89,Cold
SENSOR_0047,2025-12-26 10:00:00,99.58,Rainy
SENSOR_0039,2026-01-06 23:00:00,,Cloudy
SENSOR_0049,2025-12-18 08:00:00,429.62,Sunny
SENSOR_0007,2025-12-22 04:00:00,,Rainy
SENSOR_0021,2025-12-14 02:00:00,27.27,Cloudy
SENSOR_0035,2025-12-21 01:00:00,,Cold
SENSOR_0004,2026-01-01 20:00:00,101.27,Cold
SENSOR_0011,2026-01-08 06:00:00,110.39,Cloudy
SENSOR_0013,2025-12-24 20:00:00,214.93,Hot
SENSOR_0041,2025-12-23 16:00:00,40.01,Cloudy
SENSOR_0001,2025-12-26 03:00:00,39.62,Sunny
SENSOR_0004,2025-12-10 20:00:00,232.4,Sunny
SENSOR_0043,2025-12-20 19:00:00,39.26,Sunny
SENSOR_0008,2026-01-08 19:00:00,7.11,Hot
SENSOR_0039,2025-12-15 10:00:00,84.13,Hot
SENSOR_0041,2025-12-14 16:00:00,72.58,Cold
SENSOR_0029,2025-12-16 23:00:00,111.54,Cloudy
SENSOR_0005,2025-12-25 20:00:00,8.46,Hot
SENSOR_0023,2025-12-26 15:00:00,65.02,Cloudy
SENSOR_0005,2025-12-27 12:00:00,67.98,Sunny
SENSOR_0014,2026-01-01 08:00:00,257.82,Cold
SENSOR_0018,2026-01-01 23:00:00,67.8,Sunny
SENSOR_0006,2025-12-17 14:00:00,100.19,Hot
SENSOR_0015,2026-01-05 10:00:00,57.69,Sunny
SENSOR_0028,2025-12-25 10:00:00,6.85,Rainy
SENSOR_0025,2025-12-16 07:00:00,443.78,Sunny
SENSOR_0041,2026-01-04 18:00:00,83.5,Cold
SENSOR_0013,2025-12-15 21:00:00,44.41,Cold
SENSOR_0037,2025-12-10 14:00:00,112.57264954074822,Hot
SENSOR_0019,2026-01-05 16:00:00,58.98,Cold
SENSOR_0017,2025-12-26 10:00:00,42.36,Sunny
SENSOR_0013,2025-12-13 23:00:00,417.04,Sunny
SENSOR_0033,2025-12-25 10:00:00,3.91,Hot
SENSOR_0016,2025-12-24 00:00:00,77.85,Sunny
SENSOR_0038,2025-12-27 09:00:00,18.24,Rainy
SENSOR_0025,2025-12-24 18:00:00,0.78,Rainy
SENSOR_0033,2025-12-13 22:00:00,160.72,Rainy
SENSOR_0041,2025-12-28 05:00:00,26.51,Hot
SENSOR_0027,2025-12-16 03:00:00,73.32,Sunny
SENSOR_0006,2025-12-28 22:00:00,80.62,Rainy
SENSOR_0015,2025-12-12 02:00:00,76.32,Cloudy
SENSOR_0042,2026-01-08 02:00:00,96.88,Cold
SENSOR_0044,2025-12-25 01:00:00,24.27,Rainy
SENSOR_0042,2026-01-06 00:00:00,26.8,Sunny
SENSOR_0009,2025-12-12 08:00:00,36.19,Cold
SENSOR_0003,2025-12-21 16:00:00,113.1,Cold
SENSOR_0029,2026-01-04 11:00:00,16.41,Sunny
SENSOR_0006,2025-12-19 03:00:00,485.75,Rainy
SENSOR_0043,2026-01-03 10:00:00,22.91,Cold
SENSOR_0028,2025-12-24 03:00:00,80.89,Rainy
SENSOR_0009,2025-12-21 23:00:00,17.07,Rainy
SENSOR_0026,2025-12-14 20:00:00,61.1,Sunny
SENSOR_0040,2025-12-25 09:00:00,28.54,Sunny
SENSOR_0048,2025-12-31 15:00:00,19.68,Sunny
SENSOR_0031,2025-12-22 05:00:00,10.54,Sunny
SENSOR_0004,2025-12-15 00:00:00,0.15,Rainy
SENSOR_0026,2025-12-12 21:00:00,91.75,Cloudy
SENSOR_0027,2025-12-09 20:00:00,1100.7945768870668,Rainy
SENSOR_0049,2025-12-14 12:00:00,377.39,Sunny
SENSOR_0048,2025-12-12 19:00:00,37.55,Cloudy
SENSOR_0024,2025-12-13 08:00:00,360.65,Rainy
SENSOR_0048,2025-12-31 21:00:00,215.59,Sunny
SENSOR_0023,2025-12-12 15:00:00,392.71,Cloudy
SENSOR_0023,2025-12-12 04:00:00,180.63,Rainy
SENSOR_0001,2025-12-11 13:00:00,316.92,Rainy
SENSOR_0015,2025-12-13 08:00:00,7.46,Rainy
SENSOR_0031,2026-01-08 04:00:00,43.39,Cold
SENSOR_0005,2025-12-24 02:00:00,5.19,Sunny
SENSOR_0001,2025-12-29 05:00:00,395.32,Hot
SENSOR_0019,2025-12-26 18:00:00,85.36,Cloudy
SENSOR_0046,2025-12-21 11:00:00,15.5,Rainy
SENSOR_0032,2025-12-25 15:00:00,,Rainy
SENSOR_0046,2025-12-29 09:00:00,22.7,Cold
SENSOR_0012,2025-12-24 09:00:00,66.04,Cold
SENSOR_0025,2025-12-15 00:00:00,352.53,Rainy
SENSOR_0032,2025-12-29 21:00:00,93.34,Rainy
SENSOR_0014,2025-12-30 04:00:00,19.43,Hot
SENSOR_0015,2025-12-16 07:00:00,176.49,Cold
SENSOR_0043,2026-01-05 23:00:00,65.23,Rainy
SENSOR_0029,2025-12-24 15:00:00,188.29509700863693,Rainy
SENSOR_0028,2025-12-11 08:00:00,36.52,Hot
SENSOR_0020,2026-01-08 12:00:00,66.33,Sunny
SENSOR_0006,2025-12-29 16:00:00,,Hot
SENSOR_0032,2025-12-16 20:00:00,82.33,Sunny
SENSOR_0029,2025-12-24 01:00:00,74.81,Rainy
SENSOR_0014,2025-12-21 18:00:00,67.3,Rainy
SENSOR_0017,2025-12-11 03:00:00,,Cloudy
SENSOR_0032,2026-01-05 04:00:00,467.92,Hot
SENSOR_0006,2025-12-18 21:00:00,103.08,Cloudy
SENSOR_0001,2026-01-02 10:00:00,5.0,Rainy
SENSOR_0032,2025-12-19 13:00:00,50.8,Hot
SENSOR_0042,2025-12-14 02:00:00,22.39,Cloudy
SENSOR_0042,2025-12-21 11:00:00,121.02,Cloudy
SENSOR_0015,2025-12-17 20:00:00,110.23,Rainy
SENSOR_0029,2025-12-12 08:00:00,25.49,Cold
SENSOR_0049,2025-12-26 12:00:00,77.26,Rainy
SENSOR_0042,2025-12-20 21:00:00,40.3,Rainy
SENSOR_0034,2026-01-03 10:00:00,36.19,Hot
SENSOR_0019,2025-12-17 18:00:00,45.51,Sunny
SENSOR_0018,2025-12-25 11:00:00,25.58,Sunny
SENSOR_0044,2025-12-19 23:00:00,76.11,Cold
SENSOR_0041,2025-12-22 09:00:00,36.1,Cold
SENSOR_0001,2025-12-29 05:00:00,26.04,Rainy
SENSOR_0038,2025-12-22 05:00:00,67.5,Sunny
SENSOR_0044,2025-12-25 08:00:00,100.19,Rainy
SENSOR_0007,2025-12-21 01:00:00,68.25,Sunny
SENSOR_0028,2025-12-17 13:00:00,303.31,Sunny
SENSOR_0017,2025-12-22 11:00:00,56.21,Cold
SENSOR_0006,2026-01-06 00:00:00,33.3,Hot
SENSOR_0041,2026-01-01 07:00:00,,Cloudy
SENSOR_0022,2025-12-18 05:00:00,22.85,Cloudy
SENSOR_0011,2025-12-24 00:00:00,281.31,Sunny
SENSOR_0006,2025-12-18 19:00:00,31.92,Hot
SENSOR_0011,2025-12-25 23:00:00,,Sunny
SENSOR_0015,2025-12-25 05:00:00,45.99,Hot
SENSOR_0050,2025-12-21 13:00:00,57.36,Hot
SENSOR_0036,2025-12-24 10:00:00,6.83,Sunny
SENSOR_0032,2025-12-21 20:00:00,112.44,Rainy
SENSOR_0029,2025-12-23 08:00:00,,Sunny
SENSOR_0048,2025-12-11 08:00:00,350.19,Hot
SENSOR_0041,2025-12-11 04:00:00,108.67,Cloudy
SENSOR_0041,2026-01-03 15:00:00,352.86,Rainy
SENSOR_0036,2025-12-22 22:00:00,42.84,Cloudy
SENSOR_0037,2026-01-05 18:00:00,51.39,Cold
SENSOR_0022,2025-12-14 14:00:00,18.74,Rainy
SENSOR_0007,2025-12-20 18:00:00,288.32,Cloudy
SENSOR_0016,2026-01-07 04:00:00,16.08,Sunny
SENSOR_0028,2025-12-24 13:00:00,17.97,Cold
SENSOR_0042,2025-12-22 12:00:00,29.74,Sunny
SENSOR_0023,2026-01-02 01:00:00,34.42,Rainy
SENSOR_0034,2025-12-25 05:00:00,26.2,Sunny
SENSOR_0027,2025-12-21 13:00:00,108.47,Rainy
SENSOR_0025,2025-12-15 14:00:00,30.42,Cloudy
SENSOR_0043,2026-01-06 07:00:00,38.23,Rainy
SENSOR_0020,2026-01-01 21:00:00,12.2,Rainy
SENSOR_0027,2025-12-25 09:00:00,65.21,Rainy
SENSOR_0002,2025-12-10 01:00:00,30.21,Rainy
SENSOR_0029,2025-12-18 01:00:00,9.82,Sunny
SENSOR_0001,2026-01-01 14:00:00,11.56,Sunny
SENSOR_0040,2025-12-20 14:00:00,20.23,Hot
SENSOR_0039,2025-12-20 05:00:00,62.52,Cloudy
SENSOR_0029,2025-12-27 12:00:00,60.9,Sunny
SENSOR_0003,2025-12-30 22:00:00,49.35,Cold
SENSOR_0040,2026-01-04 19:00:00,64.52,Rainy
SENSOR_0003,2025-12-28 05:00:00,101.47,Sunny
SENSOR_0008,2025-12-16 03:00:00,64.36,Cloudy
SENSOR_0035,2025-12-18 11:00:00,164.52,Cold
SENSOR_0004,2025-12-31 08:00:00,18.61,Sunny
SENSOR_0032,2025-12-10 23:00:00,55.32,Sunny
SENSOR_0025,2026-01-07 22:00:00,33.48,Cloudy
SENSOR_0013,2025-12-14 14:00:00,68.8,Cloudy
SENSOR_0045,2025-12-26 11:00:00,33.89,Hot
SENSOR_0039,2025-12-31 14:00:00,,Cloudy
SENSOR_0038,2025-12-30 12:00:00,119.6,Cloudy
SENSOR_0027,2025-12-24 08:00:00,41.86,Cold
SENSOR_0009,2025-12-16 09:00:00,342.8,Cold
SENSOR_0028,2025-12-19 22:00:00,34.78,Cold
SENSOR_0036,2026-01-07 08:00:00,29.05,Cold
SENSOR_0047,2026-01-03 10:00:00,195.95,Cloudy
SENSOR_0014,2025-12-17 22:00:00,,Sunny
SENSOR_0035,2026-01-06 16:00:00,407.74,Rainy
SENSOR_0018,2025-12-11 18:00:00,355.6064317058622,Rainy
SENSOR_0027,2025-12-24 00:00:00,39.44,Cloudy
SENSOR_0040,2025-12-20 22:00:00,39.54,Hot
SENSOR_0048,2025-12-22 05:00:00,107.12,Sunny
SENSOR_0012,2026-01-05 19:00:00,29.13,Cold
SENSOR_0026,2026-01-08 04:00:00,26.52,Cold
SENSOR_0004,2025-12-13 04:00:00,92.14,Sunny
SENSOR_0008,2025-12-29 23:00:00,497.12,Rainy
SENSOR_0029,2025-12-19 10:00:00,12.54,Cold
SENSOR_0020,2025-12-27 10:00:00,80.81,Cloudy
SENSOR_0005,2025-12-22 00:00:00,81.09,Sunny
SENSOR_0045,2025-12-24 09:00:00,463.64,Cold
SENSOR_0020,2025-12-25 13:00:00,98.9,Cold
SENSOR_0028,2025-12-15 08:00:00,88.1,Rainy
SENSOR_0006,2025-12-29 06:00:00,54.03,Hot
SENSOR_0048,2025-12-27 14:00:00,162.89,Sunny
SENSOR_0029,2025-12-25 11:00:00,352.26,Cloudy
SENSOR_0007,2025-12-30 18:00:00,75.88,Cloudy
SENSOR_0004,2026-01-02 13:00:00,74.4,Cloudy
SENSOR_0020,2025-12-18 15:00:00,94.48,Cold
SENSOR_0010,2025-12-16 11:00:00,15.8,Cloudy
SENSOR_0017,2025-12-22 21:00:00,,Sunny
SENSOR_0038,2025-12-14 08:00:00,30.49,Cloudy
SENSOR_0010,2025-12-10 01:00:00,79.23,Cloudy
SENSOR_0048,2025-12-17 13:00:00,110.93,Hot
SENSOR_0010,2025-12-25 19:00:00,39.63,Rainy
SENSOR_0045,2025-12-27 20:00:00,72.46,Cold
SENSOR_0048,2026-01-02 00:00:00,492.95,Hot
SENSOR_0026,2025-12-17 04:00:00,98.01,Cloudy
SENSOR_0030,2025-12-11 10:00:00,320.02,Rainy
SENSOR_0008,2025-12-23 08:00:00,74.67,Rainy
SENSOR_0047,2026-01-07 09:00:00,116.54,Sunny
SENSOR_0009,2025-12-21 03:00:00,,Cloudy
SENSOR_0042,2025-12-19 10:00:00,92.85,Rainy
SENSOR_0043,2025-12-15 09:00:00,90.56,Cloudy
SENSOR_0017,2025-12-15 18:00:00,37.75,Hot
SENSOR_0003,2025-12-29 02:00:00,93.46,Sunny
SENSOR_0013,2025-12-12 15:00:00,96.09,Sunny
SENSOR_0035,2026-01-02 14:00:00,110.8,Cold
SENSOR_0044,2025-12-10 22:00:00,353.17,Cloudy
SENSOR_0041,2025-12-22 20:00:00,1.94,Hot
SENSOR_0032,2025-12-22 12:00:00,450.26,Sunny
SENSOR_0026,2025-12-11 15:00:00,,Hot
SENSOR_0020,2025-12-24 19:00:00,22.77,Sunny
SENSOR_0031,2025-12-28 21:00:00,4.53,Hot
SENSOR_0023,2026-01-04 03:00:00,,Cold
SENSOR_0017,2025-12-22 10:00:00,430.56,Hot
SENSOR_0028,2026-01-08 03:00:00,31.63,Rainy
SENSOR_0043,2025-12-27 22:00:00,34.83,Cold
SENSOR_0050,2025-12-31 10:00:00,103.3,Cold
SENSOR_0043,2025-12-12 05:00:00,14.45,Cloudy
SENSOR_0015,2025-12-25 12:00:00,70.05,Cloudy
SENSOR_0040,2025-12-13 05:00:00,17.44,Sunny
SENSOR_0038,2026-01-03 16:00:00,4.27,Sunny
SENSOR_0030,2025-12-20 20:00:00,10.87,Cold
SENSOR_0049,2025-12-12 18:00:00,96.07,Sunny
SENSOR_0030,2025-12-27 20:00:00,67.38,Cold
SENSOR_0041,2025-12-23 09:00:00,38.94,Cloudy
SENSOR_0012,2025-12-11 11:00:00,144.27,Sunny
SENSOR_0003,2025-12-27 03:00:00,440.03,Sunny
SENSOR_0047,2025-12-11 05:00:00,21.27,Cloudy
SENSOR_0012,2026-01-03 11:00:00,24.04,Hot
SENSOR_0035,2025-12-15 22:00:00,23.68,Sunny
SENSOR_0012,2026-01-08 01:00:00,136.1783307130786,Rainy
SENSOR_0010,2025-12-28 06:00:00,92.95,Rainy
SENSOR_0010,2025-12-10 23:00:00,14.52,Cold
SENSOR_0038,2025-12-27 05:00:00,283.76,Hot
SENSOR_0033,2025-12-28 09:00:00,35.72,Hot
SENSOR_0042,2026-01-01 13:00:00,30.42,Cold
SENSOR_0003,2026-01-07 11:00:00,4.67,Cloudy
SENSOR_0041,2026-01-04 18:00:00,228.84,Cold
SENSOR_0037,2025-12-10 20:00:00,116.29,Hot
SENSOR_0046,2026-01-07 20:00:00,100.02,Rainy
SENSOR_0023,2025-12-26 08:00:00,157.55,Cold
SENSOR_0028,2025-12-11 00:00:00,2.92,Cold
SENSOR_0048,2026-01-07 01:00:00,60.21,Hot
SENSOR_0046,2025-12-12 17:00:00,23.64,Cloudy
SENSOR_0012,2025-12-10 21:00:00,,Cold
SENSOR_0033,2025-12-14 03:00:00,42.92,Hot
SENSOR_0021,2025-12-30 03:00:00,10.39,Rainy
SENSOR_0025,2026-01-01 19:00:00,47.58,Cold
SENSOR_0032,2025-12-12 08:00:00,0.2,Rainy
SENSOR_0031,2026-01-07 15:00:00,40.93,Hot
SENSOR_0029,2025-12-27 13:00:00,34.59,Hot
SENSOR_0048,2025-12-24 09:00:00,75.95,Hot
SENSOR_0028,2025-12-30 02:00:00,39.37,Cold
SENSOR_0007,2025-12-17 22:00:00,94.24,Cloudy
SENSOR_0008,2026-01-01 20:00:00,52.67,Sunny
SENSOR_0008,2026-01-05 00:00:00,325.29,Rainy
SENSOR_0034,2025-12-31 02:00:00,18.45,Hot
SENSOR_0008,2025-12-20 19:00:00,495.38,Cloudy
SENSOR_0048,2026-01-01 01:00:00,88.29,Sunny
SENSOR_0049,2025-12-15 16:00:00,52.43,Rainy
SENSOR_0018,2025-12-22 08:00:00,64.85,Sunny
SENSOR_0032,2025-12-21 13:00:00,147.77,Cold
SENSOR_0024,2025-12-31 11:00:00,119.79,Hot
SENSOR_0050,2025-12-31 15:00:00,87.67,Hot
SENSOR_0028,2025-12-21 12:00:00,79.13,Cloudy
SENSOR_0017,2025-12-16 22:00:00,43.25,Rainy
SENSOR_0014,2025-12-31 12:00:00,79.25,Cloudy
SENSOR_0043,2025-12-11 00:00:00,99.16,Cloudy
SENSOR_0005,2026-01-08 05:00:00,20.65,Cold
SENSOR_0031,2025-12-17 02:00:00,27.82,Sunny
SENSOR_0047,2025-12-11 12:00:00,83.35,Cloudy
SENSOR_0029,2025-12-27 23:00:00,45.06,Cloudy
SENSOR_0042,2025-12-20 23:00:00,62.53,Cold
SENSOR_0041,2026-01-07 12:00:00,97.47,Cold
SENSOR_0050,2025-12-30 16:00:00,32.44,Hot
SENSOR_0011,2025-12-20 01:00:00,327.72,Cloudy
SENSOR_0028,2026-01-02 09:00:00,17.81,Cloudy
SENSOR_0012,2025-12-27 20:00:00,,Cold
SENSOR_0001,2026-01-01 12:00:00,162.35,Cold
SENSOR_0047,2026-01-03 19:00:00,21.1,Sunny
SENSOR_0038,2026-01-02 07:00:00,321.93,Rainy
SENSOR_0026,2025-12-20 16:00:00,29.4,Cold
SENSOR_0038,2025-12-24 22:00:00,24.03,Sunny
SENSOR_0021,2026-01-02 20:00:00,101.57,Sunny
SENSOR_0009,2025-12-23 11:00:00,1.09,Rainy
SENSOR_0030,2025-12-10 02:00:00,58.86,Cold
SENSOR_0030,2026-01-07 12:00:00,,Hot
SENSOR_0014,2025-12-21 18:00:00,22.22,Hot
SENSOR_0049,2026-01-03 19:00:00,492.29,Hot
SENSOR_0016,2025-12-10 12:00:00,148.07,Hot
SENSOR_0031,2026-01-03 09:00:00,82.31,Cloudy
SENSOR_0026,2025-12-13 18:00:00,79.17,Hot
SENSOR_0035,2025-12-22 06:00:00,372.42,Cold
SENSOR_0042,2025-12-12 10:00:00,10.85,Cold
SENSOR_0018,2025-12-10 08:00:00,166.67,Sunny
SENSOR_0049,2026-01-07 01:00:00,67.31,Hot
SENSOR_0034,2025-12-11 00:00:00,97.7,Rainy
SENSOR_0016,2025-12-14 08:00:00,179.19,Sunny
SENSOR_0025,2025-12-14 00:00:00,171.48,Cloudy
SENSOR_0013,2025-12-30 18:00:00,26.06,Sunny
SENSOR_0005,2025-12-24 14:00:00,179.11,Sunny
SENSOR_0033,2025-12-30 17:00:00,21.26,Cold
SENSOR_0023,2025-12-13 08:00:00,38.52,Rainy
SENSOR_0013,2025-12-25 07:00:00,248.68,Hot
SENSOR_0022,2025-12-30 02:00:00,384.53,Sunny
SENSOR_0026,2026-01-08 09:00:00,409.88,Sunny
SENSOR_0002,2026-01-08 15:00:00,60.54,Sunny
SENSOR_0026,2026-01-08 06:00:00,257.52,Sunny
SENSOR_0040,2025-12-25 00:00:00,2.2,Sunny
SENSOR_0040,2026-01-08 12:00:00,3.33,Cloudy
SENSOR_0004,2025-12-30 19:00:00,3.36,Sunny
SENSOR_0021,2025-12-22 05:00:00,207.82,Sunny
SENSOR_0005,2026-01-02 00:00:00,124.51,Cold
SENSOR_0017,2026-01-08 08:00:00,128.94,Rainy
SENSOR_0037,2025-12-17 10:00:00,365.11,Rainy
SENSOR_0046,2025-12-26 07:00:00,29.75,Cold
